topic_name,birth_date,last_activity_date,commit_count,docs_only_or_src,agent_tags,removal_date,removal_evidence,triggering_incident,confidence
char-boundary-panic-evaluator,2026-03-08,2026-03-08,1,unchecked,,surviving,,unknown,medium
show-aggregated-agency,2026-03-09,2026-03-09,1,unchecked,show-aggregated-agency;∎,surviving,,unknown,high
verify-first-eval-pipeline,2026-03-09,2026-03-09,1,unchecked,verify-first-integration,surviving,,unknown,medium
pass-flip-score-verify,2026-03-09,2026-03-09,1,unchecked,verify-context-eval,surviving,,unknown,medium
design-verify-first,2026-03-09,2026-03-09,1,docs*,design-verify-first,surviving,,unknown,high
enable-validate-agency,2026-03-10,2026-03-10,1,unchecked,enable-validate-agency,surviving,,unknown,high
investigate-and-fix,2026-03-10,2026-03-10,1,unchecked,investigate-and-fix,surviving,,unknown,high
integrate-and-verify,2026-03-11,2026-03-27,2,unchecked,integrate-and-verify,surviving,,unknown,high
investigate-flaky-test,2026-03-11,2026-03-11,1,unchecked,investigate-flaky-test,surviving,,unknown,high
wire-verify-tasks-source,2026-03-11,2026-03-11,1,unchecked,fix-verify-task,surviving,,unknown,medium
.verify-enable-validate-agency,2026-03-11,2026-03-11,1,unchecked,.verify-enable-validate-agency,surviving,,unknown,high
audit-and-update,2026-03-11,2026-03-11,1,unchecked,audit-and-update,surviving,,unknown,high
rename-verify-flip,2026-03-11,2026-03-11,1,unchecked,rename-verify-flip,surviving,,unknown,high
implement-wg-sweep,2026-03-11,2026-03-11,1,unchecked,implement-wg-sweep,surviving,,unknown,high
implement-agency-pipeline,2026-03-11,2026-03-11,1,unchecked,implement-agency-pipeline,surviving,,unknown,high
manual-smoke-test-coordinator,2026-03-11,2026-03-11,1,docs*,verify-coordinator-modal,surviving,,unknown,medium
investigate-assign-tasks,2026-03-12,2026-03-12,1,unchecked,investigate-assign-tasks,surviving,,unknown,high
annotation-task-mapping,2026-03-12,2026-03-12,1,unchecked,annotation-task-mapping,surviving,,unknown,high
.verify-add-phase-symbols,2026-03-12,2026-03-12,1,unchecked,.verify-add-phase-symbols,surviving,,unknown,high
.verify-fix-place-assign-race,2026-03-12,2026-03-12,1,unchecked,.verify-fix-place-assign-race,surviving,,unknown,high
.verify-update-tui-spinner,2026-03-13,2026-03-13,1,unchecked,".verify-update-tui-spinner;R,O,G,C,V",surviving,,unknown,high
tune-coordinator-prompt,2026-03-13,2026-03-13,1,unchecked,tune-coordinator-prompt,surviving,,unknown,high
push-and-verify-ci,2026-03-13,2026-03-13,3,unchecked,push-and-verify-ci,surviving,,unknown,high
.verify-impl-evolver-cycle,2026-03-13,2026-03-13,1,unchecked,.verify-impl-evolver-cycle,surviving,,unknown,high
.verify-implement-wg-model,2026-03-17,2026-03-17,1,unchecked,.verify-implement-wg-model,surviving,,unknown,high
investigate-and-fix-2,2026-03-19,2026-03-30,2,unchecked,investigate-and-fix-2,surviving,,unknown,high
investigate-token-accounting,2026-03-19,2026-03-19,1,unchecked,investigate-token-accounting,surviving,,unknown,high
.verify-ds3-ds2-doc-sync-readme,2026-03-19,2026-03-19,1,docs*,.verify-ds3-ds2-doc-sync-readme,surviving,,unknown,high
investigate-coordinator-not,2026-03-19,2026-03-19,1,unchecked,investigate-coordinator-not,surviving,,unknown,high
investigate-coordinator-not-2,2026-03-20,2026-03-20,1,unchecked,investigate-coordinator-not-2,surviving,,unknown,high
investigate-tui-termux,2026-03-21,2026-03-21,1,unchecked,X key;investigate-tui-termux,surviving,,unknown,high
doc-refresh-mar21-ds4-doc-sync-ds3-ds2-doc-sync-manual,2026-03-21,2026-03-21,1,docs*,doc-refresh-mar21-ds4-doc-sync-ds3-ds2-doc-sync-manual,surviving,,unknown,high
"wait, msg, approve/reject, discover, publish, reclaim",2026-03-21,2026-03-21,1,docs*,"wait, msg, approve/reject, discover, publish, reclaim",surviving,,unknown,high
investigate-eval-executor,2026-03-21,2026-03-21,2,unchecked,investigate-eval-executor,surviving,,unknown,high
integration-test-daemon-cleanup,2026-03-23,2026-03-23,1,unchecked,fix-integration-test,surviving,,unknown,medium
navigate-middle-task-screencast,2026-03-23,2026-03-23,1,unchecked,fix-graph-edge,surviving,,unknown,medium
.verify-compact-metrics,2026-03-23,2026-03-23,1,unchecked,.verify-compact-metrics,surviving,,unknown,high
.verify-mu-c-single-panel-nav,2026-03-25,2026-03-25,1,unchecked,.verify-mu-c-single-panel-nav,surviving,,unknown,high
.verify-fix-tui-log-wordwrap-color,2026-03-25,2026-03-25,2,unchecked,.verify-fix-tui-log-wordwrap-color,surviving,,unknown,high
.verify-mu-l-toasts,2026-03-25,2026-03-25,1,unchecked,.verify-mu-l-toasts,surviving,,unknown,high
.verify-test-verify-shell-4,2026-03-25,2026-03-25,1,unchecked,.verify-test-verify-shell-4,surviving,,unknown,high
.verify-or-diagnose-fix,2026-03-25,2026-03-25,1,unchecked,.verify-or-diagnose-fix,surviving,,unknown,high
investigate-per-task,2026-03-25,2026-03-25,1,unchecked,investigate-per-task,surviving,,unknown,high
wire-flip-context,2026-03-25,2026-03-25,1,unchecked,wire-flip-context,surviving,,unknown,high
.verify-re-record-heroview,2026-03-25,2026-03-25,1,unchecked,.verify-re-record-heroview,surviving,,unknown,high
floor-char-boundary-string,2026-03-25,2026-03-25,1,unchecked,fix-utf-8-boundary,surviving,,unknown,medium
investigate-vizview-notification,2026-03-26,2026-03-26,1,docs*,investigate-vizview-notification,surviving,,unknown,high
investigate-native-executor,2026-03-26,2026-03-26,1,docs*,investigate-native-executor,surviving,,unknown,high
.verify-agency-pull-impl,2026-03-27,2026-03-27,1,unchecked,.verify-agency-pull-impl,surviving,,unknown,high
session-boundary-markers,2026-03-27,2026-03-27,1,unchecked,session-boundary-markers,surviving,,unknown,high
investigate-and-fix-3,2026-03-27,2026-03-27,1,unchecked,investigate-and-fix-3,surviving,,unknown,high
.verify-implement-tui-chat,2026-03-27,2026-03-27,1,unchecked,.verify-implement-tui-chat,surviving,,unknown,high
investigate-tui-chat,2026-03-27,2026-03-27,1,docs*,investigate-tui-chat,surviving,,unknown,high
.verify-fix-cycle-aware,2026-03-28,2026-03-28,1,unchecked,.verify-fix-cycle-aware,surviving,,unknown,high
investigate-cycle-deadlock,2026-03-28,2026-03-28,1,docs*,investigate-cycle-deadlock,surviving,,unknown,high
reject-bare-model-names,2026-03-30,2026-03-30,1,unchecked,fix-reject-bare,surviving,,unknown,medium
bare-model-name-rejection,2026-03-30,2026-03-30,1,unchecked,test-provider-model-3,surviving,,unknown,medium
investigate-user-board,2026-03-31,2026-03-31,1,docs*,investigate-user-board,surviving,,unknown,high
surface-verify-failures-show,2026-04-01,2026-04-01,1,unchecked,verify-error-surfacing,surviving,,unknown,medium
spawn-failures-field-task,2026-04-01,2026-04-01,1,unchecked,verify-circuit-breaker,surviving,,unknown,medium
implement-circuit-breaker-verify,2026-04-01,2026-04-01,1,unchecked,verify-circuit-breaker,surviving,,unknown,medium
validate-verify-commands-task,2026-04-01,2026-04-01,1,unchecked,verify-validate-creation,surviving,,unknown,medium
investigate-openrouter-failure,2026-04-01,2026-04-01,1,unchecked,investigate-openrouter-failure,surviving,,unknown,high
